uid,role,description,controller,function,table,entity,uacl,oacl,hidden,system,protected,Notes,
ANONYMOUS,Anonymous,,,,org_organisation_organisation_type,,READ,,,,,Required for self-registration,
ANONYMOUS,Anonymous,,org,sites_for_org,,,READ,,,,,Required for self-registration,
AUTHENTICATED,Authenticated,,default,person,,,READ|CREATE|UPDATE,,,,,,
AUTHENTICATED,Authenticated,,,,gis_location,,READ|CREATE|UPDATE,,,,,,
AUTHENTICATED,Authenticated,,gis,index,,,READ,,,,,,
AUTHENTICATED,Authenticated,,gis,config,,,READ|CREATE,READ|CREATE|UPDATE,,,,,
AUTHENTICATED,Authenticated,,gis,display_feature,,,READ,,,,,,
AUTHENTICATED,Authenticated,,gis,geocode,,,READ,,,,,,
AUTHENTICATED,Authenticated,,gis,geocode_r,,,READ,,,,,,
AUTHENTICATED,Authenticated,,gis,hdata,,,READ,,,,,,
AUTHENTICATED,Authenticated,,gis,hierarchy,,,READ,,,,,,
AUTHENTICATED,Authenticated,,gis,ldata,,,READ,,,,,,
AUTHENTICATED,Authenticated,,gis,location,,,READ,,,,,,
AUTHENTICATED,Authenticated,,pr,contact,,,,READ|CREATE|UPDATE,,,,,
AUTHENTICATED,Authenticated,,pr,contact_emergency,,,,READ|CREATE|UPDATE,,,,,
AUTHENTICATED,Authenticated,,supply,,,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_config,,READ|CREATE,READ|UPDATE,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_bing,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_coordinate,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_empty,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_feature,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_geojson,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_georss,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_google,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_gpx,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_kml,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_openstretmap,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_theme,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_tms,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_wfs,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_wms,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,gis_layer_xyz,,READ,,,,,,
AUTHENTICATED,Authenticated,,hrm,course,,,READ,,,,,,
AUTHENTICATED,Authenticated,,hrm,facility,,,READ,,,,,,
AUTHENTICATED,Authenticated,,hrm,job_title,,,CREATE|READ,,,,,,
AUTHENTICATED,Authenticated,,hrm,person,,,,CREATE|READ|UPDATE|DELETE,,,,,Manage own Profile through consistent UI
AUTHENTICATED,Authenticated,,hrm,training_center,,,READ,,,,,,
AUTHENTICATED,Authenticated,,hrm,training_event,,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,hrm_human_resource,,,READ|UPDATE,,,,No HR Manager so user needs to manage this themselves,
AUTHENTICATED,Authenticated,,,,hrm_certification,,,READ,,,,,Managed by Reference Centers
AUTHENTICATED,Authenticated,,,,hrm_competency,,,CREATE|READ|UPDATE,,,,Self-managed,
AUTHENTICATED,Authenticated,,,,hrm_experience,,,CREATE|READ|UPDATE,,,,Self-managed (except for those coming from Missions) ,
AUTHENTICATED,Authenticated,,,,hrm_job_title,,CREATE|READ,,,,,,
AUTHENTICATED,Authenticated,,,,hrm_skill,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,hrm_training,,,READ,,,,Managed by Reference Centers,
AUTHENTICATED,Authenticated,,,,hrm_training_event,,,READ,,,,Managed by Reference Centers,
AUTHENTICATED,Authenticated,,,,org_facility,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,pr_address,,,CREATE|READ|UPDATE,,,,,
AUTHENTICATED,Authenticated,,,,pr_contact,,,CREATE|READ|UPDATE,,,,,
AUTHENTICATED,Authenticated,,,,pr_contact_emergency,,,CREATE|READ|UPDATE,,,,,
AUTHENTICATED,Authenticated,,,,pr_education,,,CREATE|READ|UPDATE,,,,,
AUTHENTICATED,Authenticated,,,,pr_identity,,,CREATE|READ|UPDATE,,,,,
AUTHENTICATED,Authenticated,,,,pr_image,,,CREATE|READ|UPDATE,,,,,
AUTHENTICATED,Authenticated,,,,pr_person,,,READ|UPDATE,,,,,
AUTHENTICATED,Authenticated,,,,pr_physical_description,,,CREATE|READ|UPDATE,,,,,
AUTHENTICATED,Authenticated,,,,supply_brand,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,supply_catalog,,READ,,,,,,
AUTHENTICATED,Authenticated,,,,supply_item_category,,READ,,,,,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,admin,user,,,ALL,,,,,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,gis,location,,,ALL,,,,,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,budget,,,,ALL,,,,,,
ORG_ADMIN,Organisation Admin,Can manage Organisation Users and control all record permissions,hrm,,,,ALL,,,,,,
